date,new_cases,new_deaths,I,vaccination_rate,people_vaccinated,people_vaccinated_per_hundred
2021-04-18,472324.0,5270.0,1,0.40905714285714284,135804393.57142857,40.90571428571429
2021-04-25,407863.0,4948.0,1,0.4354,144551075.7142857,43.54
2021-05-02,344520.0,4887.0,1,0.4571,151762637.2857143,45.71
2021-05-09,286799.0,4633.0,1,0.4730714285714286,157063666.57142857,47.30714285714286
2021-05-16,231261.0,4274.0,1,0.4866857142857143,161587400.7142857,48.66857142857143
2021-05-23,176959.0,3944.0,1,0.5047857142857143,167591913.85714287,50.478571428571435
2021-05-30,140625.0,4653.0,1,0.5186714285714286,172202050.0,51.86714285714286
2021-06-06,81003.0,2646.0,1,0.5272714285714286,175057062.42857143,52.72714285714285
2021-06-13,101993.0,2525.0,1,0.5351285714285715,177676463.7142857,53.512857142857136
2021-06-20,77932.0,2102.0,1,0.5418714285714287,179903287.57142857,54.18714285714286
2021-06-27,83172.0,2153.0,1,0.5479142857142857,181911729.14285713,54.79142857142857
2021-07-04,139564.0,1499.0,1,0.5535,183767299.85714287,55.35
2021-07-11,159756.0,1571.0,1,0.5583428571428571,185373193.0,55.83428571428572
2021-07-18,226134.0,1913.0,1,0.5637571428571428,187175753.85714287,56.37571428571429
2021-07-25,365069.0,1883.0,1,0.5704714285714286,189395190.85714287,57.04714285714285
2021-08-01,558425.0,2519.0,1,0.5791571428571428,192281296.2857143,57.91571428571429
2021-08-08,772331.0,3612.0,1,0.5891000000000001,195586661.2857143,58.910000000000004
2021-08-15,916095.0,4634.0,1,0.5991571428571428,198926121.14285713,59.91571428571429
2021-08-22,1047723.0,7057.0,1,0.6084428571428572,202010395.2857143,60.84428571428572
2021-08-29,1098369.0,9071.0,1,0.6172000000000001,204919828.7142857,61.720000000000006
2021-09-05,1129290.0,10917.0,1,0.6253857142857143,207628550.85714287,62.53857142857142
2021-09-12,1022674.0,11581.0,1,0.6316428571428572,209713327.85714287,63.16428571428572
2021-09-19,1037906.0,14085.0,1,0.6380999999999999,211850675.85714287,63.81
2021-09-26,839336.0,14239.0,1,0.6433857142857143,213609411.57142857,64.33857142857143
2021-10-03,748687.0,13302.0,1,0.6486857142857143,215368418.14285713,64.86857142857143
2021-10-10,675957.0,12481.0,1,0.6534571428571427,216956865.0,65.34571428571428
2021-10-17,585035.0,10712.0,1,0.6577714285714286,218383765.0,65.77714285714286
2021-10-24,508507.0,11623.0,1,0.6618571428571428,219735815.14285713,66.18571428571428
2021-10-31,510730.0,9447.0,1,0.6668857142857142,221407762.57142857,66.68857142857142
2021-11-07,515236.0,8525.0,1,0.6726285714285715,223313717.85714287,67.26285714285714
2021-11-14,587460.0,7966.0,1,0.6819714285714286,226419529.42857143,68.19714285714285
2021-11-21,655824.0,10025.0,1,0.6920571428571429,229769346.57142857,69.20571428571428
2021-11-28,502568.0,5491.0,1,0.7000857142857143,232431892.7142857,70.00857142857143
2021-12-05,849600.0,9568.0,1,0.7067285714285714,234642557.42857143,70.67285714285715
2021-12-12,836754.0,9004.0,1,0.7142857142857143,237149395.85714287,71.42857142857143
2021-12-19,929624.0,9012.0,1,0.7212571428571428,239463099.14285713,72.12571428571428
2021-12-26,1433265.0,10057.0,1,0.7282428571428571,241782510.42857143,72.82428571428571
2022-01-02,2892635.0,9450.0,1,0.7339857142857144,243687305.57142857,73.39857142857143
